Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Sr. Program Specialists #1,12 Paid,184
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,189
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Sr. Program Specialists #1,12 Paid,196
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,199
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Sr. Program Specialists #1,12 Paid,94
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Sr. Program Specialists #2,12 Paid,96
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Miscellaneous,12 Paid,107
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Sr. Program Specialists #2,12 Paid,108
Program Administrative Costs,00-003,ILTR-00046,02-27-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Sr. Program Specialists #1,12 Paid,111
Program Administrative Costs,00-003,ILTR-00046,02-21-2009,,,,03-31-2009,04-01-2009,04-02-2009,,,07-10-2009,07-20-2009,07-21-2009,02-27-2009,OCD,Miscellaneous,12 Paid,121
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Sr. Program Specialists #2,12 Paid,126
Program Administrative Costs,00-004,ILTR-00046,02-27-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Sr. Program Specialists #1,12 Paid,129
Program Administrative Costs,00-004,ILTR-00046,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,06-09-2009,,,08-03-2009,08-04-2009,02-27-2009,OCD,Miscellaneous,12 Paid,138
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Sr. Program Specialists #2,12 Paid,143
Program Administrative Costs,00-005,ILTR-00046,03-21-2009,,,,05-19-2009,05-20-2009,05-21-2009,07-22-2009,08-11-2009,08-25-2009,08-27-2009,08-28-2009,03-27-2009,OCD,Miscellaneous,12 Paid,151
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Sr. Program Specialists #2,12 Paid,155
Program Administrative Costs,00-006,ILTR-00046,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,07-22-2009,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Miscellaneous,12 Paid,162
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Sr. Program Specialists #2,12 Paid,186
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Sr. Program Specialists #2,12 Paid,193
Program Administrative Costs,00-008,ILTR-00046,06-27-2009,,,,08-10-2009,08-12-2009,08-12-2009,09-21-2009,,,12-14-2009,12-15-2009,07-02-2009,OCD,Miscellaneous,12 Paid,204
Program Administrative Costs,00-009,ILTR-00046,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Miscellaneous,12 Paid,206
Program Administrative Costs,00-001,ILTR-00046,10-04-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,10-10-2008,OCD,Miscellaneous,12 Paid,439
Program Administrative Costs,00-011,ILTR-00046,09-19-2009,,10-19-2009,10-20-2009,10-21-2009,03-11-2010,03-11-2010,03-11-2010,,,06-18-2010,06-21-2010,09-25-2009,OCD,Sr. Program Specialists #1,12 Paid,445
Community Services Staffing,00-001,ILTR-00045,10-04-2008,,,,04-01-2009,04-02-2009,04-03-2009,,,,05-14-2009,05-15-2009,10-10-2008,OCD,Community Services Administrator,12 Paid,328
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Community Services Administrator,12 Paid,330
Community Services Staffing,00-001,ILTR-00045,10-04-2008,,,,04-01-2009,04-02-2009,04-03-2009,,,,05-14-2009,05-15-2009,10-10-2008,OCD,Community Services Adm. Assistant,12 Paid,331
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Community Services Adm. Assistant,12 Paid,333
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,Community Services Project Assistant #1,12 Paid,349
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Community Services Project Assistant #1,12 Paid,350
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,Community Services Project Assistant #2,12 Paid,351
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Community Services Project Assistant #2,12 Paid,352
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,Community Services Project Assistant #3,12 Paid,353
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Community Services Project Assistant #3,12 Paid,354
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Community Services Adm. Assistant,12 Paid,356
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Community Services Adm. Assistant,12 Paid,357
Community Services Staffing,00-004,ILTR-00045,02-28-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Community Services Project Assistant #1,12 Paid,358
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Community Services Project Assistant #1,12 Paid,359
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Community Services Project Assistant #2,12 Paid,360
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Community Services Project Assistant #2,12 Paid,361
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Community Services Project Assistant #3,12 Paid,362
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Community Services Project Assistant #3,12 Paid,363
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Community Services Adm. Assistant,12 Paid,376
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Community Services Project Assistant #1,12 Paid,377
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Community Services Project Assistant #2,12 Paid,378
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Community Services Project Assistant #3,12 Paid,379
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Community Services Adm. Assistant,12 Paid,386
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Community Services Adm. Assistant,12 Paid,387
Community Services Staffing,00-010,ILTR-00045,08-22-2009,,,,09-09-2009,09-11-2009,09-11-2009,10-28-2009,01-20-2010,,02-02-2010,02-03-2010,08-28-2009,OCD,Community Services Adm. Assistant,12 Paid,388
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Community Services Project Assistant #1,12 Paid,389
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Community Services Project Assistant #1,12 Paid,390
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Community Services Project Assistant #2,12 Paid,392
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Community Services Project Assistant #2,12 Paid,393
Community Services Staffing,00-010,ILTR-00045,08-22-2009,,,,09-09-2009,09-11-2009,09-11-2009,10-28-2009,01-20-2010,,02-02-2010,02-03-2010,08-28-2009,OCD,Community Services Project Assistant #2,12 Paid,394
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Community Services Project Assistant #3,12 Paid,395
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Community Services Project Assistant #3,12 Paid,396
Community Services Staffing,00-006,ILTR-00045,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Community Services Project Assistant #1,12 Paid,416
Community Services Staffing,00-006,ILTR-00045,05-02-2009,,,,05-20-2009,05-21-2009,05-22-2009,,08-06-2009,08-25-2009,08-27-2009,08-28-2009,05-08-2009,OCD,Community Services Project Assistant #2,12 Paid,417
Broadmoor Streetscape,00-001,ILTR-00018,04-13-2009,,,,06-01-2009,06-02-2009,06-03-2009,,,,06-22-2009,06-23-2009,07-01-2009,DPW,"Krebs, LaSalle, LeMieux Consultants, Inc",12 Paid,17
Lower 9th Ward Streetscapes,00-003,ILTR-00012,04-30-2009,06-15-2009,06-17-2009,06-17-2009,06-25-2009,06-26-2009,06-26-2009,,,07-15-2009,07-20-2009,07-21-2009,06-24-2009,DPW,"Neel-Shaffer, Inc",12 Paid,63
Broad & Lafitte Streetscape,00-003,ILTR-00017,04-30-2009,06-15-2009,07-06-2009,06-17-2009,07-06-2009,07-10-2009,07-10-2009,07-15-2009,08-03-2009,08-10-2009,08-12-2009,08-13-2009,08-13-2009,DPW,"Neel-Shaffer, Inc",12 Paid,68
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Target Area Assistant,12 Paid,92
Program Administrative Costs,00-002,ILTR-00046,12-31-2008,,,,,04-02-2009,,,,,05-21-2009,05-22-2009,01-02-2009,OCD,Principal Recovery Policy Analyst,12 Paid,95
Harrison Avenue Streetscape,00-002,ILTR-00010,07-24-2009,07-24-2009,07-29-2009,08-24-2009,08-24-2009,08-26-2009,08-26-2009,08-27-2009,10-23-2009,,10-30-2009,11-02-2009,11-03-2009,DPW,"Torre Design Consortium, Ltd",12 Paid,211
Tulane Av./Jefferson Davis Streetscape,00-002,ILTR-00026,07-23-2009,08-12-2009,08-13-2009,08-14-2009,08-24-2009,08-24-2009,08-25-2009,08-26-2009,10-23-2009,,11-02-2009,11-03-2009,11-13-2009,DPW,"Buchart Horn, Inc",12 Paid,212
Broad & Lafitte Streetscape,00-004,ILTR-00017,07-31-2009,08-31-2009,09-04-2009,09-07-2009,09-07-2009,09-11-2009,09-11-2009,09-14-2009,10-23-2009,,10-30-2009,11-02-2009,11-03-2009,DPW,"Neel-Shaffer, Inc",12 Paid,310
St. Bernard Streetscape,00-004,ILTR-00025,07-23-2009,08-12-2009,08-13-2009,08-17-2009,09-21-2009,09-23-2009,09-24-2009,09-24-2009,10-23-2009,,10-30-2009,11-02-2009,11-03-2009,DPW,"Buchart Horn, Inc",12 Paid,312
Lower 9th Ward Streetscapes,00-004,ILTR-00012,07-31-2009,08-31-2009,09-04-2009,09-07-2009,09-07-2009,09-11-2009,09-11-2009,09-14-2009,10-23-2009,,10-30-2009,11-02-2009,11-03-2009,DPW,"Neel-Shaffer, Inc",12 Paid,313
St. Bernard Streetscape,00-005,ILTR-00025,08-07-2009,08-31-2009,09-04-2009,09-07-2009,09-10-2009,09-11-2009,09-14-2009,09-14-2009,10-23-2009,,10-30-2009,11-02-2009,11-03-2009,DPW,"Buchart Horn, Inc",12 Paid,314
St. Anthony Pathway,00-003,ILTR-00030,05-29-2009,06-16-2009,06-16-2009,09-21-2009,09-21-2009,09-23-2009,09-24-2009,09-24-2009,10-23-2009,,10-30-2009,11-02-2009,11-03-2009,DPW,G.E.C. INC.,12 Paid,327
Community Services Staffing,00-001,ILTR-00045,10-04-2008,,,,04-01-2009,04-02-2009,04-03-2009,,,,05-14-2009,05-15-2009,10-10-2008,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,334
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,335
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,336
Community Services Staffing,00-001,ILTR-00045,10-04-2008,,,,04-01-2009,04-02-2009,04-03-2009,,,,05-14-2009,05-15-2009,10-10-2008,OCD,Hospitalization (BCCPY),12 Paid,337
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,Hospitalization (BCCPY),12 Paid,338
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Hospitalization (BCCPY),12 Paid,339
Community Services Staffing,00-001,ILTR-00045,10-04-2008,,,,04-01-2009,04-02-2009,04-03-2009,,,,05-14-2009,05-15-2009,10-10-2008,OCD,Workmen's Compensation (WCCPY),12 Paid,340
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,341
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,342
Community Services Staffing,00-001,ILTR-00045,10-04-2008,,,,04-01-2009,04-02-2009,04-03-2009,,,,05-14-2009,05-15-2009,10-10-2008,OCD,Life Insurance (LICPY),12 Paid,343
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,Life Insurance (LICPY),12 Paid,344
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Life Insurance (LICPY),12 Paid,345
Community Services Staffing,00-001,ILTR-00045,10-04-2008,,,,04-01-2009,04-02-2009,04-03-2009,,,,05-14-2009,05-15-2009,10-10-2008,OCD,Unemployment Insurance (UCCPY),12 Paid,346
Community Services Staffing,00-002,ILTR-00045,12-31-2008,,,,04-01-2009,04-01-2009,04-02-2009,,,,05-15-2009,05-18-2009,01-02-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,347
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,348
Community Services Staffing,00-003,ILTR-00045,01-24-2009,,,,04-01-2009,04-01-2009,04-02-2009,,,07-10-2009,07-17-2009,07-20-2009,01-30-2009,OCD,Community Services Project Assistant #4,12 Paid,355
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Community Services Project Assistant #4,12 Paid,364
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Community Services Project Assistant #4,12 Paid,365
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,366
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,367
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Hospitalization (BCCPY),12 Paid,368
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Hospitalization (BCCPY),12 Paid,369
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,370
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,371
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Life Insurance (LICPY),12 Paid,372
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Life Insurance (LICPY),12 Paid,373
Community Services Staffing,00-004,ILTR-00045,02-21-2009,,,,05-15-2009,05-18-2009,05-18-2009,,,07-31-2009,08-03-2009,08-04-2009,02-27-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,374
Community Services Staffing,00-005,ILTR-00045,03-21-2009,,,,05-20-2009,05-21-2009,05-21-2009,,08-04-2009,08-10-2009,08-12-2009,08-13-2009,03-27-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,375
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Community Services Project Assistant #4,12 Paid,380
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,381
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Hospitalization (BCCPY),12 Paid,382
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Life Insurance (LICPY),12 Paid,383
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,384
Community Services Staffing,00-007,ILTR-00045,05-30-2009,,07-29-2009,,08-04-2009,08-05-2009,08-05-2009,08-20-2009,,,10-16-2009,10-19-2009,06-05-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,385
Community Services Staffing,00-010,ILTR-00045,08-22-2009,,,,09-09-2009,09-11-2009,09-11-2009,10-28-2009,01-20-2010,,02-02-2010,02-03-2010,08-28-2009,OCD,Community Services Project Assistant #3,12 Paid,397
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,398
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,399
Community Services Staffing,00-010,ILTR-00045,08-22-2009,,,,09-09-2009,09-11-2009,09-11-2009,10-28-2009,01-20-2010,,02-02-2010,02-03-2010,08-28-2009,OCD,"16.65% (AACPY, JDCPY, JFCPY)",12 Paid,400
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Hospitalization (BCCPY),12 Paid,401
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Hospitalization (BCCPY),12 Paid,402
Community Services Staffing,00-010,ILTR-00045,08-22-2009,,,,09-09-2009,09-11-2009,09-11-2009,10-28-2009,01-20-2010,,02-02-2010,02-03-2010,08-28-2009,OCD,Hospitalization (BCCPY),12 Paid,403
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,404
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,405
Community Services Staffing,00-010,ILTR-00045,08-22-2009,,,,09-09-2009,09-11-2009,09-11-2009,10-28-2009,01-20-2010,,02-02-2010,02-03-2010,08-28-2009,OCD,Workmen's Compensation (WCCPY),12 Paid,406
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Life Insurance (LICPY),12 Paid,407
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Life Insurance (LICPY),12 Paid,408
Community Services Staffing,00-010,ILTR-00045,08-22-2009,,,,09-09-2009,09-11-2009,09-11-2009,10-28-2009,01-20-2010,,02-02-2010,02-03-2010,08-28-2009,OCD,Life Insurance (LICPY),12 Paid,409
Community Services Staffing,00-008,ILTR-00045,06-27-2009,,,,08-18-2009,08-20-2009,08-20-2009,09-21-2009,,,10-30-2009,11-02-2009,07-02-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,410
Community Services Staffing,00-009,ILTR-00045,07-25-2009,,,08-20-2009,08-20-2009,08-20-2009,08-20-2009,10-12-2009,,,01-18-2010,01-20-2010,07-31-2009,OCD,Unemployment Insurance (UCCPY),12 Paid,413
