Project Name,Vendor Name,Vendor Type,Pre-Invoice Tracking Implementation,Check Source,CPA Revolver Invoice Status,City Invoice Status,CDBG Invoice Status,End of Work Period,Date of Invoice,Date Received by Department,Date Approved by Project Manager,Date Receiver Created in AFIN,Date Sent to Finance,Date Received by Finance,Date City Check Cut,Date City Check Released,Record ID#,Invoice Amount
Wisner Shared Use Path Extension (Esplanade - De Saix),Meyer Engineers,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-07-2016,12-07-2016,12-15-2016,12-29-2016,01-12-2017,01-17-2017,01-17-2017,01-24-2017,01-24-2017,21038,"$84,048.6"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-03-2016,12-12-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-21-2016,12-21-2016,21031,"$1,325.74"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)",Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-07-2016,12-07-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-14-2016,12-16-2016,12-16-2016,21032,"$5,500"
Bike Rack Installation Project,"Stanley Consultants, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-29-2016,12-02-2016,12-14-2016,12-30-2016,12-30-2016,01-03-2017,01-03-2017,01-10-2017,01-10-2017,21033,"$6,590.44"
Gardena Dr (St. Bernard Ave - Paris Ave.),"Arcadis U.S., Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-22-2016,01-06-2017,12-13-2016,12-13-2016,12-13-2016,12-14-2016,12-14-2016,12-20-2016,12-20-2016,21023,"$38,304"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,12-05-2016,12-12-2016,12-13-2016,12-19-2016,12-19-2016,12-19-2016,01-03-2017,01-03-2017,21018,"$235,875.22"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,01-10-2017,12-12-2016,01-23-2017,01-26-2017,01-30-2017,01-30-2017,02-03-2017,02-03-2017,21019,"$179,958.57"
St. Charles Ave (Napoleon - Louisiana),"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-26-2016,12-07-2016,12-12-2016,12-20-2016,12-20-2016,12-27-2016,12-27-2016,01-04-2017,01-04-2017,21030,"$7,191.21"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-25-2016,12-30-2016,12-09-2016,01-05-2017,01-09-2017,01-09-2017,01-09-2017,01-17-2017,01-17-2017,21016,"$68,311.67"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,04-27-2016,12-28-2016,12-09-2016,01-05-2017,01-09-2017,01-09-2017,01-09-2017,01-17-2017,01-17-2017,21017,"$130,221.4"
Aubry St. (Broad - Gentilly),MSMM Engineering LLC,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,12-06-2016,12-07-2016,12-07-2016,12-12-2016,12-13-2016,12-13-2016,12-15-2016,12-15-2016,20996,"$16,761.1"
Vienna (Corinne - Nighthart),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-22-2016,11-24-2016,12-07-2016,12-09-2016,12-19-2016,12-27-2016,12-27-2016,01-03-2017,01-03-2017,21007,"$3,749.24"
Vienna (Corinne - Nighthart),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-30-2016,12-07-2016,12-09-2016,12-21-2016,12-21-2016,12-21-2016,01-03-2017,01-03-2017,21008,"$119,904.53"
Jackson Ave (Claiborne Ave - Galvez St),Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,12-07-2016,12-07-2016,12-07-2016,12-12-2016,12-12-2016,12-14-2016,12-14-2016,12-16-2016,12-16-2016,21021,"$13,382.1"
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-26-2016,11-28-2016,12-06-2016,01-17-2017,01-25-2017,01-27-2017,01-27-2017,02-03-2017,02-03-2017,20991,"$4,486.61"
Wisner Bridge over I-610,Norfolk Southern Corp.,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-29-2016,12-13-2016,12-06-2016,12-13-2016,12-27-2016,01-03-2017,01-03-2017,01-10-2017,01-10-2017,20992,"$10,200.92"
Wisner Bridge over I-610,Norfolk Southern Corp.,Other,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-29-2016,12-13-2016,12-06-2016,12-13-2016,12-27-2016,01-03-2017,01-03-2017,01-10-2017,01-10-2017,20993,"$32,732.69"
Downtown Traffic Conditions Analysis,"AECOM USA, Inc.",Architect/Engineer,yes,City Only,Pre-Invoice Tracking,Pre-Invoice Tracking,Pre-Invoice Tracking,11-25-2016,11-30-2016,12-05-2016,12-06-2016,,,,,,20982,"$125,274.2"
DPW Pavement Assessment,Stantec Consulting Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-11-2016,11-21-2016,12-05-2016,12-06-2016,12-12-2016,12-14-2016,12-14-2016,12-20-2016,12-20-2016,20986,"$16,845"
N. Galvez St (Tennessee St  - Delery St),"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,11-30-2016,12-05-2016,12-05-2016,12-16-2016,12-16-2016,12-16-2016,12-20-2016,12-20-2016,20988,"$17,091.75"
Gravier St (Galvez - Broad),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-18-2016,12-02-2016,12-05-2016,12-08-2016,12-09-2016,12-09-2016,12-20-2016,12-20-2016,20975,"$785,260.66"
Recovery Program - Lower Ninth Ward (Pavement Only - Quad 3),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-02-2016,12-16-2016,12-02-2016,12-19-2016,12-23-2016,12-28-2016,12-28-2016,01-04-2017,01-04-2017,20981,"$3,800"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-18-2016,11-23-2016,11-30-2016,12-01-2016,12-02-2016,12-02-2016,12-02-2016,12-16-2016,12-16-2016,20964,"$250,659.96"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-28-2016,11-23-2016,11-28-2016,11-29-2016,12-02-2016,12-02-2016,12-02-2016,12-16-2016,12-16-2016,20946,"$28,401.86"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),"Gulf South Engineering & Testing, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-22-2016,11-22-2016,11-28-2016,11-28-2016,11-29-2016,11-30-2016,11-30-2016,12-06-2016,12-06-2016,20948,"$1,304.32"
Gravier St (Galvez - Broad),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-29-2016,11-21-2016,11-28-2016,11-29-2016,12-09-2016,12-09-2016,12-09-2016,12-15-2016,12-15-2016,20955,"$57,107.5"
N. Galvez St (Tennessee St  - Delery St),Command Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-30-2016,11-11-2016,11-28-2016,11-29-2011,12-07-2016,12-08-2016,12-08-2016,12-19-0201,12-19-0201,20956,"$278,308.11"
N. Galvez  St (Elysian Fields Ave  - Almonaster Ave ),Durr Heavy Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-25-2016,11-15-2016,11-22-2016,11-23-2016,12-02-2016,12-05-2016,12-05-2016,12-06-2016,12-06-2016,20934,"$410,918.74"
N. Galvez St (Tennessee St  - Delery St),"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-30-2016,11-22-2016,11-22-2016,11-22-2016,11-22-2016,11-22-2016,12-05-2016,12-05-2016,20935,"$1,131.74"
Jackson Ave (Claiborne Ave - Galvez St),"APS Design & Testing, LLC",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-10-2016,11-10-2016,11-22-2016,11-28-2016,11-28-2016,11-28-2016,11-28-2016,12-08-2016,12-08-2016,20939,"$11,937.88"
Jackson Ave (Claiborne Ave - Galvez St),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,11-16-2016,11-22-2016,11-28-2016,12-01-2016,12-01-2016,12-01-2016,12-06-2016,12-06-2016,20940,"$284,668.45"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Urban Systems,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-15-2016,11-21-2016,12-12-2016,12-13-2016,12-16-2016,12-16-2016,12-22-2016,12-22-2016,20931,"$22,445.66"
"Berkley Dr (Kabel Dr - Huntlee Dr), Somerset Dr (Berkley Dr - MacArthur Blvd)",Julien Engineering & Consulting,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,10-27-2016,11-18-2016,11-18-2016,12-02-2016,12-02-2016,12-02-2016,12-06-2016,12-06-2016,20924,"$20,913.17"
"Johnson St (Jefferson - Claiborne), Melodia (Claiborne - S. Johnson)",Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-10-2016,11-10-2016,11-18-2016,11-18-2016,11-29-2016,11-30-2016,11-30-2016,12-08-2016,12-08-2016,20925,"$5,500"
Aubry St. (Broad - Gentilly),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,11-04-2016,11-17-2016,11-18-2016,11-23-2016,11-28-2016,11-28-2016,12-08-2016,12-08-2016,20916,"$109,630"
Lake Forest Blvd. Widening (Eastover Dr - I-510),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-11-2016,11-17-2016,11-22-2016,11-29-2016,11-29-2016,11-29-2016,12-08-2016,12-08-2016,20917,"$9,189.59"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2016,11-17-2016,11-17-2016,11-21-2016,12-08-2016,12-09-2016,12-08-2016,12-12-2016,12-12-2016,20918,"$39,919.95"
Washington Avenue Pedestrian Crossing (Washington Ave. - Drexel Drive - Xavier),"Design Engineering, Inc",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-17-2016,11-17-2016,11-21-2016,12-08-2016,12-09-2016,12-09-2016,12-12-2016,12-12-2016,20919,"$37,372.53"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-30-2016,11-15-2016,11-17-2016,11-21-2016,12-15-2016,12-16-2016,12-16-2016,12-19-2016,12-19-2016,20922,"$417,638.8"
Jackson Ave (Claiborne Ave - Galvez St),Richard C. Lambert,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-10-2016,11-16-2016,11-16-2016,11-16-2016,11-17-2016,11-17-2016,11-17-2016,11-21-2016,11-21-2016,20896,"$30,220.9"
Pedestrian Crossing/Local Road Safety Program (Phase I & II),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-29-2016,10-31-2016,11-16-2016,11-29-2016,11-29-2016,11-30-2016,11-30-2016,12-06-2016,12-06-2016,20898,"$8,011.05"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-31-2016,11-15-2016,11-16-2016,11-21-2016,11-28-2016,11-28-2016,11-28-2016,12-06-2016,12-06-2016,20909,"$355,386.75"
Tchoupitoulas Signage and Striping,"N-Y Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-30-2016,11-15-2016,11-15-2016,11-18-2016,11-22-2016,11-22-2016,11-22-2016,12-05-2016,12-05-2016,20882,"$7,530.42"
Recovery Program - Central City,"C. H. Fenstermaker & Associates, Inc.",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-24-2016,10-21-2016,11-15-2016,11-18-2016,12-09-2016,12-12-2016,12-12-2016,12-13-2016,12-13-2016,20884,"$13,912.47"
Gravier St (Galvez - Broad),Wallace C. Drennan Construction Co.,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-30-2016,11-08-2016,11-15-2016,11-15-2016,11-30-2016,12-01-2016,12-01-2016,12-06-2016,12-06-2016,20885,"$299,413.72"
Vienna (Corinne - Nighthart),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-10-2016,11-15-2016,11-15-2016,11-16-2016,11-16-2016,11-17-2016,11-17-2016,11-21-2016,11-21-2016,20891,$240.5
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Digital Engineering and Imaging,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-27-2016,11-11-2016,11-15-2016,11-22-2016,11-29-2016,11-30-2016,11-30-2016,12-06-2016,12-06-2016,20932,"$11,652"
St. Bernard Ave. (Filmore Ave. to Robert E. Lee Blvd.),Barriere Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-30-2016,11-15-2016,11-11-2016,11-21-2016,11-29-2016,11-29-2016,11-29-2016,12-06-2016,12-06-2016,20874,"$244,881.56"
Aubry St. (Broad - Gentilly),MSMM Engineering LLC,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-31-2016,11-07-2016,11-10-2016,11-10-2016,11-11-2016,11-14-2016,11-14-2016,11-16-2016,11-16-2016,20861,"$17,021.1"
Gardena Dr (St. Bernard Ave - Paris Ave.),"APS Design & Testing, LLC",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-30-2016,11-15-2016,11-10-2016,11-16-2016,11-17-2016,11-17-2016,11-17-2016,11-21-2016,11-21-2016,20871,"$6,382"
St. Charles Avenue Overlay (Phase I & II),"Linfield, Hunter & Junius",Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,11-04-2016,11-04-2016,11-09-2016,11-21-2016,11-30-2016,12-01-2016,12-01-2016,12-06-2016,12-06-2016,20855,"$6,506.22"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,08-22-2016,11-03-2016,11-07-2016,11-10-2016,11-16-2016,11-16-2016,11-16-2016,11-23-2016,11-23-2016,20836,$392
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-08-2016,11-03-2016,11-07-2016,11-10-2016,11-16-2016,11-16-2016,11-16-2016,11-23-2016,11-23-2016,20837,$323
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-12-2016,11-03-2016,11-07-2016,11-10-2016,11-16-2016,11-16-2016,11-16-2016,11-23-2016,11-23-2016,20838,"$1,176"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-14-2016,11-03-2016,11-07-2016,11-10-2016,11-28-2016,11-28-2016,11-28-2016,12-06-2016,12-06-2016,20840,"$103,569.48"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,06-28-2016,11-21-2016,11-07-2016,11-29-2016,11-29-2016,11-29-2016,11-29-2016,12-06-2016,12-06-2016,20842,"$89,466.64"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-25-2016,11-21-2016,11-07-2016,11-29-2016,11-29-2016,11-29-2016,11-29-2016,12-06-2016,12-06-2016,20844,"$47,339.92"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-26-2016,11-03-2016,11-04-2016,11-07-2016,11-10-2016,11-10-2016,11-10-2016,11-17-2016,11-17-2016,20764,"$85,446.34"
Street Light Maintenance and Rehabilitation,"All Star Electric, INC",General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,05-05-2016,11-03-2016,11-04-2016,11-07-2016,11-10-2016,11-10-2016,11-10-2016,11-17-2016,11-17-2016,20777,"$71,477.59"
Vienna (Corinne - Nighthart),"Fugro Consultants, Inc.",Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-25-2016,11-26-2016,11-04-2016,11-16-2016,11-17-2016,11-18-2016,11-18-2016,11-21-2016,11-21-2016,20834,$934.5
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Eustis Engineering,Testing,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2016,10-25-2016,10-27-2016,11-02-2016,11-02-2016,11-03-2016,11-03-2016,11-09-2016,11-09-2016,20807,"$1,219"
"Homedale (Canal - West End), Center (33rd - Tacoma), Milne (Homedale - Florida), Walker (Marshal-Orl",Integrated Management Services,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2016,10-25-2016,10-26-2016,11-04-2016,11-07-2016,11-07-2016,11-07-2016,11-10-2016,11-10-2016,20804,"$2,859.25"
Gravier St (Galvez - Broad),ECM Consultants,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,10-01-2016,10-14-2016,10-25-2016,10-25-2016,10-26-2016,10-31-2016,10-31-2016,11-09-2016,11-09-2016,20789,"$14,990.25"
Recovery Program - St. Claude (Pavement Only),HNTB Corporation,Architect/Engineer,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-23-2016,10-20-2016,10-25-2016,11-18-2016,12-09-2016,12-12-2016,12-12-2016,12-13-2016,12-13-2016,20792,"$1,680"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,09-30-2016,10-10-2016,10-24-2016,10-27-2016,11-10-2016,11-11-2016,11-11-2016,11-16-2016,11-16-2016,20787,"$170,887.71"
City Park Parking Lots Improvements (Marconi - Stadium Dr.),Hard Rock Construction,General Contractor,no,City Only,06 Finance to Send to State,8 Paid,03 Fiscal to Send to D-CDBG Project Manager,07-31-2016,10-20-2016,10-21-2016,10-27-2016,11-09-2016,11-11-2016,11-11-2016,11-16-2016,11-16-2016,20737,"$29,910.75"
